"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","Geometry","HausDist","DisHausDst","CodeAppar"
"77222-AI-0250","350.5998500035137","80.72436578374727","true","13.064301795764093","4","POLYGON ((685191.56 6836796.47, 685171.97 6836777, 685162.93 6836785.85, 685170.81 6836793.68, 685171.7 6836794.57, 685176.95 6836799.8, 685177.39 6836800.23, 685182.64 6836805.45, 685191.56 6836796.47))","0.0","0.0",""
"77390-0C-0404","517.7583499956646","89.00159680079058","true","61.992312265737674","2","POLYGON ((674269.41 6854293.75, 674252.77 6854293.88, 674247.08 6854293.95, 674242.01 6854293.99, 674241.76 6854304.95, 674241.85 6854306.31, 674241.95 6854306.86, 674242.26 6854307.94, 674242.73 6854308.95, 674243.33 6854309.89, 674243.67 6854310.32, 674244.05 6854310.74, 674244.45 6854311.13, 674244.88 6854311.47, 674245.81 6854312.1, 674246.82 6854312.58, 674247.88 6854312.91, 674248.43 6854313.02, 674248.98 6854313.1, 674249.92 6854313.13, 674267.67 6854312.76, 674270.09 6854310.17, 674269.41 6854293.75))","0.0","0.0",""
"77390-0D-2383","55.522150000109946","42.140322910775474","true","2.2653427760526905","6","POLYGON ((674347.58 6854325.3, 674339.69 6854325.37, 674332.87 6854326.98, 674329.98 6854328.16, 674329.93 6854331.28, 674340.06 6854328.37, 674347.53 6854328.29, 674347.58 6854325.3))","0.0","0.0",""
"77222-AH-0282","2415.499249996533","197.6203855073711","true","112.12549037129477","9","POLYGON ((685321.5 6836693.43, 685315.44 6836699.61, 685309.44 6836705.72, 685303.43 6836711.84, 685298.94 6836716.42, 685297.07 6836718.33, 685292.52 6836722.96, 685288.16 6836727.41, 685325.55 6836764.1, 685334.2 6836756.16, 685347.6 6836740.38, 685346.05 6836738.63, 685354.32 6836732.46, 685355.45 6836731.13, 685349.27 6836723.31, 685342.87 6836715.69, 685338.95 6836711.27, 685332.15 6836703.99, 685325.11 6836696.92, 685321.5 6836693.43))","0.0","0.0",""
"77222-AI-0306","304.2059500006637","81.00484416231352","false","0.0","4","POLYGON ((685403.34 6836901.3, 685398.81 6836904.93, 685393.89 6836908.9, 685393.01 6836909.61, 685379.57 6836920.41, 685385.82 6836928.23, 685399.23 6836917.35, 685405.07 6836912.73, 685409.58 6836909.11, 685403.34 6836901.3))","0.0","0.0",""
"77222-AH-0273","163.73554999926762","58.63542861338041","true","7.930877801831798","4","POLYGON ((685288.16 6836727.41, 685292.52 6836722.96, 685297.07 6836718.33, 685298.94 6836716.42, 685303.43 6836711.84, 685298.1 6836706.59, 685293.59 6836711.16, 685287.16 6836717.7, 685282.79 6836722.13, 685288.16 6836727.41))","0.0","0.0",""
"77390-0D-2329","227.1013499998611","67.80436930511642","true","9.655519101103371","7","POLYGON ((674471.96 6854434.57, 674472.5 6854429.37, 674472.76 6854426.82, 674473.3 6854421.61, 674473.45 6854418.35, 674473.85 6854409.07, 674471.21 6854409.09, 674465.27 6854409.13, 674464.55 6854416.13, 674463.67 6854424.71, 674463.28 6854428.42, 674462.78 6854433.39, 674471.96 6854434.57))","0.0","0.0",""
"77222-AI-0263","411.20259999672254","98.9063892235109","true","20.837362385194915","4","POLYGON ((685296.65 6836877.5, 685292.14 6836873.57, 685286.08 6836868.29, 685267.26 6836851.9, 685260.47 6836860.01, 685279.15 6836876.28, 685285.19 6836881.55, 685289.71 6836885.48, 685296.65 6836877.5))","0.0","0.0",""
"77222-AI-0332","407.94495000081366","88.92267715055641","true","14.040786404834755","5","POLYGON ((685198.05 6836784.48, 685193.79 6836780.25, 685191.28 6836777.75, 685190.31 6836776.79, 685187.75 6836774.25, 685185.05 6836771.56, 685177.19 6836763.75, 685168.3 6836772.89, 685171.97 6836777, 685191.56 6836796.47, 685198.05 6836784.48))","0.0","0.0",""
"77390-0D-2350","460.22610000226575","86.6247710744266","true","38.222390095817744","3","POLYGON ((674415.16 6854184.28, 674414.96 6854159.82, 674396.24 6854159.49, 674396.46 6854184.23, 674415.16 6854184.28))","0.0","0.0",""
