"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","Geometry","HausDist","DisHausDst","CodeAppar"
"77390-New11Section-283","307.1044354039367","71.74726951450276","true","14.47634120748012","6","POLYGON ((674205.9546485328 6854316.06850569, 674217.75 6854315.82, 674219.9669985803 6854315.572780734, 674220.5725703398 6854294.16429335, 674206.5854340969 6854293.768645841, 674205.9546485059 6854316.0685056895, 674205.9546485328 6854316.06850569))","0.0","0.0",""
"77222-New11Section-259","403.0074641701702","83.84515053574754","true","88.0072698918367","6","POLYGON ((685469.3118297065 6836693.134754683, 685468.15 6836694.4, 685462.89 6836700.14, 685457.63 6836705.87, 685452.37 6836711.61, 685451.0703211116 6836713.028506673, 685462.9453879581 6836723.01977853, 685464.9319918463 6836720.658612274, 685480.3065200287 6836702.385308083, 685469.3118297065 6836693.134754683))","0.0","0.0",""
"77470-New6Section-126","372.04953979294163","78.12091067017217","true","22.758469131109365","4","POLYGON ((684257.1900271523 6849008.506356596, 684273.58 6849010.51, 684279.4099999983 6849011.22, 684279.4099999989 6849011.219999946, 684279.0424815351 6848992.857497376, 684256.8856968954 6848993.300956944, 684257.1900271523 6849008.506356596))","0.0","0.0",""
"77222-newSection0ConsolidationDivision-10","337.23407632174514","73.55140862394737","true","7.966347060111218","7","POLYGON ((685366.8283464337 6836825.081105298, 685361.828 6836820.261, 685361.38 6836819.83, 685352.936296947 6836811.691047473, 685340.6510100765 6836823.759317213, 685354.1672168477 6836837.518578579, 685366.8283464396 6836825.081105304, 685366.8283464378 6836825.081105302, 685366.8283464337 6836825.081105298))","0.0","0.0",""
"77061-newSection0ConsolidationDivision-27","312.86391898880333","71.36508327306355","true","33.183200663721614","3","POLYGON ((698687.9083785188 6806415.118291421, 698692.7361024388 6806429.855050063, 698711.9086728897 6806423.574165695, 698707.0809489693 6806408.8374070525, 698705.9954506843 6806409.193013476, 698687.9083785188 6806415.118291421))","0.0","0.0",""
"77114-newSection1ConsolidationDivision-22","327.4107067654895","73.78636877431595","true","15.260244435102036","5","POLYGON ((674386.3996731355 6847583.356311604, 674377.0145892608 6847563.421511899, 674363.5703276673 6847569.750922003, 674372.9554115417 6847589.685721708, 674383.6408539483 6847584.655133256, 674386.3996731355 6847583.356311604))","0.0","0.0",""
"77061-newSection0ConsolidationDivision-115","390.2476941442984","79.3571974676149","true","39.82710695997386","4","POLYGON ((698405.3372774799 6806564.539978204, 698410.9437893853 6806581.654008364, 698431.5365648707 6806574.90786851, 698425.9300529654 6806557.79383835, 698405.3372774799 6806564.539978204))","0.0","0.0",""
"77061-newSection0ConsolidationDivision-6","427.5609809954686","84.03578865569689","true","42.118639188518365","4","POLYGON ((698728.9450407667 6806581.390460065, 698721.2474653632 6806557.893401672, 698704.8146717545 6806563.27674225, 698712.512247158 6806586.773800642, 698728.9450407667 6806581.390460065))","0.0","0.0",""
"77390-newSection0ConsolidationDivision-193","503.9514578043959","92.89385856979095","true","51.98386941341653","4","POLYGON ((674228.2292725069 6853822.976533629, 674220.86 6853820.28, 674209.0190542937 6853816.171575962, 674211.1422777944 6853847.059338212, 674229.796578534 6853845.77704235, 674228.2292725069 6853822.976533629))","0.0","0.0",""
"77390-newSection0ConsolidationDivision-0","392.26750639446874","88.21797501487497","true","43.759402900297275","3","POLYGON ((673561.3040677423 6854000.8954211995, 673552.19 6854002.97, 673531.47 6854007.57, 673531.34 6854019.259999997, 673531.3400000004 6854019.26, 673563.4232057175 6854014.204226411, 673561.3040677423 6854000.8954211995))","0.0","0.0",""
