"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","Geometry","HausDist","DisHausDst","CodeAppar"
"77470-AK-0387","488.2976500010614","89.25167112040414","false","0.0","7","POLYGON ((681669.16 6849044.9, 681693.96 6849041.12, 681692.84 6849021.15, 681677.03 6849023.67, 681675.38 6849023.93, 681673.74 6849024.19, 681668.97 6849024.9, 681669.16 6849044.9))","0.0","0.0",""
"77152-AW-0555","4117.795699991509","278.65282699342146","false","0.0","6","POLYGON ((672735.15 6823321.45, 672740.4 6823351.59, 672744.11 6823372.42, 672745.1 6823372.17, 672748.01 6823389.34, 672749.09 6823389.11, 672749.91 6823393.55, 672750.52 6823396.96, 672754.99 6823396.21, 672767.65 6823394.12, 672768 6823390.47, 672766.59 6823382.36, 672801.49 6823359.2, 672801.4 6823340.85, 672796.54 6823340.87, 672796.31 6823333.4, 672801.71 6823324.91, 672801.94 6823308.04, 672801.96 6823307.12, 672780.18 6823306.36, 672768.12 6823310.82, 672737.96 6823322.03, 672735.15 6823321.45))","0.0","0.0",""
"77114-0C-0284","1323.4028499861413","660.8343330877759","false","0.0","8","POLYGON ((676592.94 6845711.66, 676568.63 6845707.27, 676556.27 6845703.94, 676545.6 6845699.21, 676506.06 6845674.28, 676505.06 6845673.7, 676498.36 6845664.44, 676455.56 6845641.34, 676420.41 6845620.99, 676396.04 6845605.97, 676393.9 6845608.77, 676384.61 6845606.71, 676368.58 6845600.29, 676352.99 6845593.27, 676337.74 6845585.17, 676332.54 6845581.21, 676306.68 6845565.13, 676304.45 6845568.51, 676309.19 6845570.8, 676312.19 6845572.59, 676316.85 6845575.28, 676322.25 6845579.02, 676329.01 6845583.32, 676337.8 6845588.99, 676354.62 6845598.27, 676370.31 6845606.32, 676381.49 6845609.11, 676386.25 6845610.31, 676390.97 6845611.67, 676396.02 6845613.28, 676401.91 6845615.25, 676405.49 6845617.01, 676409 6845618.77, 676414.37 6845622.02, 676417.95 6845624.53, 676422.39 6845627.74, 676430.64 6845633.78, 676437.91 6845637.57, 676446.41 6845642.05, 676495.95 6845669.64, 676506.46 6845678.08, 676542.71 6845701.18, 676554.9 6845706.34, 676566.05 6845709.96, 676592.2 6845714.66, 676592.94 6845711.66))","0.0","0.0",""
"77285-BE-0154","133.32604999730754","51.54714155208973","false","0.0","7","POLYGON ((672297.8 6827524.39, 672295.52 6827529.47, 672308.5 6827533.02, 672313.22 6827535.43, 672315.8 6827529.48, 672314.36 6827528.64, 672310.99 6827527.29, 672300.78 6827521.89, 672297.8 6827524.39))","0.0","0.0",""
"77243-AN-0350","158.48315000510485","66.04448307843029","true","6.279267595291577","4","POLYGON ((679537.43 6864498.38, 679531.37 6864497.8, 679527.55 6864507.51, 679524.35 6864515.63, 679521.77 6864522.19, 679527.25 6864524.32, 679529.81 6864517.79, 679530.22 6864516.75, 679530.84 6864515.19, 679532.99 6864509.66, 679533.38 6864508.66, 679537.43 6864498.38))","0.0","0.0",""
"77217-0C-0904","333.7782499943861","75.76009028395718","false","0.0","11","POLYGON ((674333.9 6842364.67, 674349.57 6842370.33, 674356.08 6842352.33, 674342.67 6842347.48, 674342.41 6842348.17, 674340.96 6842352.15, 674336.83 6842350.7, 674332.26 6842363.37, 674334.29 6842364.04, 674333.9 6842364.67))","0.0","0.0",""
"77114-0C-0189","80.08019999753238","50.73643359218218","true","12.898389137108675","6","POLYGON ((676583.45 6845806.39, 676562.79 6845802.48, 676573.02 6845809.3, 676584.71 6845811.72, 676583.45 6845806.39))","0.0","0.0",""
"77312-0D-1328","407.7465499930815","166.9799804252652","true","10.36409935902595","4","POLYGON ((682542.57 6804421.85, 682552.55 6804433.04, 682578.08 6804408.26, 682578.08 6804408.25, 682577.26 6804405.33, 682577.26 6804405.34, 682564.77 6804417.16, 682557.84 6804423.74, 682554.88 6804420.65, 682557.42 6804418.26, 682555.71 6804416.6, 682562.73 6804409.93, 682575.21 6804398.06, 682573.46 6804391.83, 682542.57 6804421.85))","0.0","0.0",""
"77470-AK-0425","275.7299000045627","77.15953952951102","false","0.0","5","POLYGON ((681644.14 6848971.58, 681666.04 6848970.49, 681665.59 6848961.44, 681670.42 6848961.2, 681670.27 6848958.24, 681644 6848959.51, 681644.14 6848971.58))","0.0","0.0",""
"77217-0B-1565","1000.316800000704","129.62845397950386","true","39.84844146945168","4","POLYGON ((675715.41 6842883.51, 675737.54 6842895.56, 675744.68 6842882.52, 675756.51 6842860.93, 675734.1 6842848.77, 675715.41 6842883.51))","0.0","0.0",""
"77061-ZC-0157","48.207449997597095","27.93019625613877","true","6.643587449328522","5","POLYGON ((699656.7 6806964.4, 699657.5 6806972.1, 699663.71 6806971.22, 699662.89 6806963.59, 699656.7 6806964.4))","0.0","0.0",""
"77114-AE-0148","488.1440000051867","91.37974111176761","true","39.56411622259235","4","POLYGON ((675139.47 6847657.43, 675142.48 6847661.55, 675154.27 6847663.78, 675155.26 6847658.53, 675155.56 6847656.91, 675157.11 6847648.71, 675157.32 6847647.62, 675159.83 6847634.3, 675142.44 6847631.02, 675142.34 6847632.65, 675142.23 6847634.34, 675142.01 6847636.65, 675141.78 6847638.74, 675139.47 6847657.43))","0.0","0.0",""
"77317-AE-0028","1432.9154000158896","184.81751670977818","true","112.1678080402902","3","POLYGON ((692692.82 6833874.7, 692692.84 6833875.74, 692692.74 6833876.73, 692692.25 6833877.98, 692690.88 6833879.29, 692666.43 6833892.42, 692664.33 6833891.42, 692658.8 6833921.4, 692726.44 6833885.41, 692717.98 6833871.2, 692709.84 6833874.27, 692705.63 6833875.17, 692692.82 6833874.7))","0.0","0.0",""
"77312-YA-0315","1553.5975000008475","291.08844011389283","true","13.695352576180053","5","POLYGON ((680250.5 6805126.48, 680261.96 6805119.78, 680250.5 6804989.9, 680239.21 6804990.85, 680250.5 6805126.48))","0.0","0.0",""
"77285-BI-0078","934.3672499957997","134.60979842032418","false","0.0","5","POLYGON ((672303.74 6826754.13, 672312.66 6826763.14, 672315.19 6826765.67, 672322.84 6826773.31, 672328.61 6826779.08, 672334.59 6826773.05, 672331.83 6826770.26, 672338.36 6826763.6, 672337.39 6826762.49, 672338.86 6826761, 672347.46 6826752.28, 672331.92 6826736.9, 672324.35 6826744.52, 672318.78 6826738.97, 672318.44 6826739.31, 672303.74 6826754.13))","0.0","0.0",""
"77285-BE-0140","128.63335000465645","53.2831485228302","false","0.0","6","POLYGON ((672264.83 6827469.61, 672278.91 6827464.49, 672281.3 6827463.61, 672283.97 6827462.53, 672282.02 6827456.92, 672275.99 6827458.86, 672262.63 6827463.56, 672264.23 6827467.88, 672264.83 6827469.61))","0.0","0.0",""
"77312-YA-0312","1096.6480000153426","163.46570093822282","true","24.92520020672304","7","POLYGON ((680226.33 6804991.94, 680239.21 6804990.85, 680237.14 6804966.03, 680248.52 6804967.45, 680248.33 6804964.96, 680247.4 6804953.84, 680245.95 6804936.13, 680245.85 6804934.77, 680221.33 6804935.31, 680226.33 6804991.94))","0.0","0.0",""
"77285-BI-0093","269.18854998644423","119.25171442375726","false","0.0","7","POLYGON ((672434.39 6826845.17, 672471.51 6826882.05, 672475.06 6826878.48, 672471.44 6826874.92, 672470.68 6826874.16, 672462.26 6826865.82, 672435.37 6826839.2, 672434.39 6826845.17))","0.0","0.0",""
"77470-0A-0093","41.23869999982703","26.132991318228065","false","0.0","2","POLYGON ((681554.47 6849912.52, 681554.98 6849907.58, 681547.5 6849906.48, 681546.77 6849910.87, 681546.63 6849911.69, 681554.42 6849912.95, 681554.47 6849912.52))","0.0","0.0",""
"77217-0B-1691","623.5730999920308","101.98888491893686","true","30.098948894420648","4","POLYGON ((674933.15 6842274.89, 674952 6842268.51, 674945.07 6842248.47, 674912.95 6842259.57, 674923.63 6842273.06, 674933.15 6842274.89))","0.0","0.0",""
"77217-0C-0952","495.663599993537","118.05402959074301","false","0.0","6","POLYGON ((675601.79 6843406.45, 675595.61 6843399.96, 675589.85 6843404.82, 675559.24 6843430.73, 675565.16 6843440.51, 675599.79 6843408.44, 675601.79 6843406.45))","0.0","0.0",""
"77152-AZ-0072","386.9585999989927","80.59998871638949","false","0.0","7","POLYGON ((671821.86 6823039.6, 671818.39 6823055.05, 671841.39 6823062.3, 671845.48 6823046.91, 671821.86 6823039.6))","0.0","0.0",""
"77114-AC-0012","507.9079499956889","106.91607427366206","false","0.0","6","POLYGON ((674597.43 6846932.87, 674598.46 6846937.79, 674623.26 6846932.56, 674623.27 6846932.45, 674623.34 6846928.7, 674623.41 6846925.06, 674623.49 6846920.55, 674623.68 6846918.73, 674623.76 6846906.56, 674606.79 6846906.87, 674606.77 6846915.13, 674606.77 6846915.33, 674606.74 6846924.74, 674606.74 6846925.5, 674606.72 6846930.94, 674597.43 6846932.87))","0.0","0.0",""
"77114-AE-0388","4313.301750008749","304.01605777909776","true","81.96438576385947","6","POLYGON ((675672.87 6848275.13, 675673.37 6848276.87, 675675.75 6848285.14, 675676.39 6848287.39, 675684.84 6848316.85, 675688.19 6848328.51, 675722.78 6848319.71, 675727.2 6848346.17, 675727.45 6848347.69, 675727.51 6848348.61, 675744.96 6848344.89, 675744.42 6848342.45, 675742.37 6848333.24, 675744.77 6848309.23, 675756.01 6848306.83, 675759.96 6848300.76, 675753.86 6848272.1, 675719.07 6848269.71, 675708.61 6848269.69, 675703.27 6848269.87, 675698.33 6848270.35, 675684.09 6848272.6, 675672.87 6848275.13))","0.0","0.0",""
"77061-0C-2044","551.4078500019623","113.05265681123491","true","3.8424997061273047","6","POLYGON ((698605.99 6807107.62, 698584.33 6807111.09, 698587.97 6807128.36, 698586.72 6807130.9, 698576.31 6807132.93, 698577.08 6807136.86, 698609.05 6807130.93, 698605.99 6807107.62))","0.0","0.0",""
"77114-0A-0808","40.128099999433594","25.53916115677245","false","0.0","4","POLYGON ((677093.9 6848048.59, 677089.28 6848044.98, 677084.74 6848050.3, 677088.86 6848053.82, 677093.9 6848048.59))","0.0","0.0",""
"77337-BA-0259","41.087149999080246","25.680768762008324","true","5.940896981675375","4","POLYGON ((672352.82 6861760.81, 672350.73 6861754.44, 672344.98 6861756.42, 672347.12 6861762.9, 672352.82 6861760.81))","0.0","0.0",""
"77061-0A-0974","62.08565000228877","31.660436139277486","true","8.899974990304557","6","POLYGON ((698114.49 6807589.03, 698115.8 6807588.58, 698122.49 6807586.08, 698120.56 6807578.93, 698112.65 6807582.04, 698114.49 6807589.03))","0.0","0.0",""
"77217-ZS-0002","5787.698900012246","1504.1238992537683","true","762.4262860710097","3","POLYGON ((676737.58 6840192.8, 676706.32 6840430.9, 676640.46 6840876.21, 676633.17 6840933.23, 676641.75 6840929.16, 676648.39 6840877.3, 676714.24 6840432, 676733.46 6840286.12, 676736.06 6840255.92, 676739.2 6840219.65, 676742.16 6840193.99, 676737.58 6840192.8))","0.0","0.0",""
"77470-0A-0062","875.0177499881663","136.38590371999487","true","23.706357661470392","3","POLYGON ((681934.66 6849936.92, 681885 6849947.41, 681885.21 6849958.42, 681936.06 6849960.6, 681934.66 6849936.92))","0.0","0.0",""
"77312-AI-0364","2901.9969000088195","247.4511458500237","true","32.22827534600902","7","POLYGON ((679862.47 6804341.1, 679874.1 6804343.75, 679894.46 6804348.37, 679899.87 6804322, 679912.25 6804262.76, 679883.97 6804248.17, 679862.47 6804341.1))","0.0","0.0",""
"77114-0C-0412","83.53705000282224","48.720160812058076","true","4.290831456334137","5","POLYGON ((676443.48 6845714.15, 676442.54 6845715.74, 676440.27 6845720.22, 676434.18 6845732.22, 676437.65 6845733.98, 676447.23 6845716.12, 676443.48 6845714.15))","0.0","0.0",""
"77114-AH-0426","114.00784999950183","44.08355845032562","true","13.089037303641003","2","POLYGON ((675422.52 6847593.36, 675422.26 6847601.3, 675434.89 6847600.53, 675434.65 6847589.73, 675433.91 6847590.12, 675426.41 6847592.42, 675422.52 6847593.36))","0.0","0.0",""
"77217-0C-0951","554.08264999768","132.32629453798228","false","0.0","7","POLYGON ((675570.73 6843449.72, 675607.34 6843415.98, 675612.28 6843411.44, 675610.56 6843409.45, 675607.39 6843412.34, 675601.79 6843406.45, 675599.79 6843408.44, 675565.16 6843440.51, 675570.73 6843449.72))","0.0","0.0",""
"77061-0A-0927","283.5635500003914","84.1176156534486","true","9.192117192260039","6","POLYGON ((699085.38 6808724.08, 699081.75 6808759.63, 699090.53 6808759.2, 699093.48 6808729.5, 699085.38 6808724.08))","0.0","0.0",""
"77470-0A-0035","415.52860000509054","76.15000790666299","false","0.0","2","POLYGON ((681447.22 6850632.48, 681450.12 6850630.27, 681451.91 6850627.57, 681452.25 6850624.75, 681451.59 6850621.33, 681448.75 6850616.97, 681446.23 6850613.85, 681442.93 6850610.98, 681438.78 6850608.3, 681433.54 6850607.68, 681430.67 6850608.85, 681428.03 6850612.53, 681427.21 6850615.08, 681427.19 6850617.48, 681429.52 6850621.17, 681430.99 6850623.57, 681432.35 6850625.46, 681433.97 6850627.13, 681435.87 6850628.57, 681438.42 6850630.05, 681441.8 6850631.07, 681444.36 6850632.37, 681447.22 6850632.48))","0.0","0.0",""
"77317-0B-0333","302.31954999334243","73.05719275819034","true","10.20257559101118","4","POLYGON ((692551.77 6834096.13, 692529.16 6834100.94, 692526.84 6834104.37, 692527.47 6834105.23, 692528.07 6834106.12, 692528.26 6834106.42, 692528.89 6834107.49, 692529.14 6834107.96, 692529.62 6834108.92, 692530.12 6834110.06, 692530.18 6834110.23, 692530.25 6834110.39, 692530.44 6834110.89, 692530.62 6834111.4, 692530.84 6834112.07, 692530.99 6834112.58, 692531.13 6834113.1, 692554.32 6834108.16, 692551.77 6834096.13))","0.0","0.0",""
"77285-BN-0114","240.55379999764617","213.25137499341574","false","0.0","7","POLYGON ((671538.57 6825650.48, 671536.24 6825650.29, 671537.29 6825728.9, 671537.6 6825751.96, 671539.97 6825755.47, 671539.92 6825751.43, 671538.57 6825650.48))","0.0","0.0",""
