"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","Geometry","HausDist","DisHausDst","CodeAppar"
"77470-AD-0367","41.89634999947225","28.053675317702844","false","0.0","7","POLYGON ((682981.84 6849260.7, 682982.34 6849261.52, 682984.15 6849264.55, 682986.69 6849262.96, 682992.37 6849259.38, 682990.25 6849255.83, 682985.33 6849258.68, 682981.84 6849260.7))","0.0","0.0",""
"77390-AH-0209","3218.1404499686487","282.5787834976806","true","5.397620094057435","7","POLYGON ((673860.96 6854666.23, 673864.11 6854670.11, 673868.42 6854666.99, 673869.1 6854667.75, 673879.02 6854678.81, 673970.29 6854680.7, 673972.32 6854647.23, 673967.93 6854646.96, 673944.3 6854645.53, 673940.07 6854645.27, 673935.05 6854645.65, 673891.36 6854648.94, 673890.78 6854655.3, 673863.22 6854654.53, 673860.62 6854657.06, 673863.97 6854661.36, 673865.2 6854662.94, 673860.96 6854666.23))","0.0","0.0",""
"77243-AI-0363","340.98109999301533","94.69086047278284","true","25.20212994847202","8","POLYGON ((677923.97 6863709.88, 677922.48 6863713.1, 677923.37 6863713.42, 677941.75 6863704.35, 677955.3 6863696.52, 677952.4 6863694.94, 677950.08 6863694.17, 677931.99 6863688.18, 677928.17 6863698.49, 677925.74 6863705.04, 677928.9 6863708.5, 677925.63 6863711.37, 677923.97 6863709.88))","0.0","0.0",""
"77390-AL-0341","225.5056500008074","82.93025712397349","true","6.72784946165853","4","POLYGON ((673221.73 6855456.97, 673218.72 6855450.89, 673211.03 6855453.4, 673202.56 6855455.95, 673194.84 6855458.42, 673185.4 6855461.43, 673188.34 6855467.03, 673196.75 6855464.5, 673206.87 6855461.45, 673221.73 6855456.97))","0.0","0.0",""
"77390-AD-0101","47.373799996816714","28.88857729607777","false","0.0","8","POLYGON ((674727.18 6855112.06, 674731.56 6855109.88, 674726.56 6855102.07, 674721.74 6855104.47, 674727.18 6855112.06))","0.0","0.0",""
"77390-AD-0113","42.459850000486924","30.164442073081265","false","0.0","11","POLYGON ((674733.31 6855120.62, 674738.54 6855127.98, 674739.42 6855121.84, 674740.19 6855115.87, 674733.49 6855119.2, 674733.31 6855120.62))","0.0","0.0",""
"77390-AD-0088","151.66150000272282","64.97272762188493","true","6.048308285745871","4","POLYGON ((675165.41 6854812.86, 675173.02 6854809.05, 675187.23 6854801.94, 675189.47 6854800.82, 675187.65 6854797.2, 675186.94 6854795.77, 675178.91 6854799.79, 675170.48 6854803.99, 675163 6854807.75, 675165.41 6854812.86))","0.0","0.0",""
"77390-AK-0315","225.23414999702516","66.22326896210689","false","0.0","3","POLYGON ((674370.17 6855183.75, 674360.43 6855193.82, 674364.04 6855197.3, 674359.57 6855201.9, 674363.65 6855205.84, 674364.52 6855204.94, 674366.09 6855206.46, 674378.22 6855193.88, 674376.54 6855192.28, 674374.45 6855186.75, 674370.73 6855183.17, 674370.17 6855183.75))","0.0","0.0",""
"77390-AK-0313","661.1774000067792","111.42374741873977","false","0.0","6","POLYGON ((674340.41 6855189.04, 674351.03 6855210.66, 674359.57 6855201.9, 674364.04 6855197.3, 674360.43 6855193.82, 674370.17 6855183.75, 674367.72 6855178.88, 674363.65 6855170.79, 674349.55 6855177.71, 674337.61 6855183.56, 674340.41 6855189.04))","0.0","0.0",""
"77243-AI-0325","1652.333800001318","162.72288301876458","false","0.0","3","POLYGON ((677899.37 6863735.02, 677908.83 6863710.21, 677891.6 6863703.63, 677869.37 6863695.13, 677855.38 6863731.66, 677894.91 6863746.71, 677899.37 6863735.02))","0.0","0.0",""
