"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","Geometry","HausDist","DisHausDst","CodeAppar"
"77390-New21Section-104","323.5385168499837","99.6647403687869","true","132.4308682511313","9","POLYGON ((674715.8581474217 6855097.963726703, 674732.9401518371 6855121.832668605, 674741.173448939 6855118.16547235, 674728.3937494189 6855091.871117547, 674715.8581474217 6855097.963726703), (674733.31 6855120.62, 674732.61 6855119.64, 674733.49 6855119.2, 674733.31 6855120.62), (674731.56 6855109.88, 674734.97 6855108.17, 674734.18 6855113.96, 674731.56 6855109.88))","0.0","0.0",""
"77243-New4Section-48","294.7646060828408","76.72841788741596","true","21.690588137939535","6","POLYGON ((677743.3409292658 6863704.983534885, 677733.0865047792 6863702.193999852, 677725.8056956329 6863728.95849885, 677736.0601201197 6863731.748033883, 677743.3409292658 6863704.983534885))","0.0","0.0",""
"77390-AK-Densifyed-1","4273.280423508339","273.8107109282341","true","66.3622841978449","4","POLYGON ((674358.9100619241 6855219.217388809, 674421.471 6855279.805, 674435.639 6855265.135, 674439.373 6855261.256, 674447.508 6855252.842, 674452.263 6855247.905, 674458.178 6855241.789, 674428.814 6855213.144, 674426.524 6855210.535, 674423.882 6855206.68, 674421.934 6855203.198, 674415.7410866681 6855188.379892978, 674358.9100619241 6855219.217388809))","0.0","0.0",""
"77243-New3Section-93","192.89686758166468","67.7390297904093","true","28.78860959800683","4","POLYGON ((678110.0414344441 6863974.519181389, 678119.58 6863949.22, 678119.3272420383 6863947.715633336, 678100.5724970647 6863962.538688969, 678110.0414344417 6863974.519181391, 678110.0414344441 6863974.519181389))","0.0","0.0",""
"77243-New8Section-68","541.0154022074247","125.34210023182715","true","99.89206896569686","7","POLYGON ((677775.27 6863897.85, 677776.41 6863893.99, 677770.8193162533 6863891.91300296, 677762.3488814088 6863907.401941647, 677781.7599444741 6863918.017268384, 677787.71 6863901.78, 677797.6799999996 6863904.86, 677797.68 6863904.859999999, 677797.6800000014 6863904.859999997, 677797.88 6863904.34, 677801.45 6863894.81, 677801.4499999996 6863894.81, 677800.86 6863894.59, 677784.76 6863888.57, 677784.53 6863888.48, 677783.29 6863891.84, 677784.14 6863892.15, 677781.18 6863899.77, 677781.11 6863899.94, 677776.32 6863898.19, 677775.27 6863897.85))","0.0","0.0",""
"77243-New3Section-80","536.6707107321582","95.80649626719978","true","0.9649799520051634","7","POLYGON ((677972.9947747376 6863930.392723375, 677972.0374449395 6863930.062516805, 677946.9870501356 6863949.861420832, 677948.2814461587 6863952.240489663, 677948.2814461605 6863952.2404896645, 677954.33 6863953.91, 677954.28 6863954.16, 677967.4974741867 6863958.10671685, 677984.3632706866 6863944.776616111, 677972.9947747376 6863930.392723375))","0.0","0.0",""
"77390-New17Section-307","436.87493912969467","83.75115579929157","true","66.4450283789228","7","POLYGON ((673300.5594181042 6856159.572410157, 673298.77 6856176.63, 673298.246087823 6856181.617319019, 673298.246087685 6856181.617320334, 673317.8475390086 6856183.675177077, 673320.1606440344 6856161.628987512, 673300.5594181042 6856159.572410157))","0.0","0.0",""
"77243-New8Section-126","353.34674812888295","77.24158581072159","true","15.281677104464682","4","POLYGON ((677734.9826956666 6863926.411365222, 677748.046307622 6863933.5554618025, 677759.4328119374 6863912.734232382, 677746.3691999817 6863905.590135802, 677734.9826956666 6863926.411365222))","0.0","0.0",""
"77243-New1Section-42","422.7501807388942","82.33975579450451","true","20.199866430556572","5","POLYGON ((677916.304158461 6863682.995726538, 677897.5082162414 6863676.771782198, 677890.1652298084 6863696.593733126, 677908.5159856286 6863703.391719434, 677916.3041584824 6863682.995726568, 677916.3041584897 6863682.995726548, 677916.304158461 6863682.995726538))","0.6017337873839526","29.59076139675011",
"77243-New2Section-20","366.03932044811063","101.82451041170351","true","9.56670198820739","4","POLYGON ((677974.9619380321 6863823.009270152, 677989.9 6863820.81, 678005.61 6863818.49, 678007.6 6863818.2, 678014.27 6863817.22, 678017.99 6863816.67, 678012.22 6863809.38, 678011.13 6863810.43, 678009.43 6863808.74, 678007.65 6863809.01, 677973.6584013593 6863814.160471067, 677974.9619380321 6863823.009270152))","0.0","0.0",""
