"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","Geometry","HausDist","DisHausDst","CodeAppar"
"77470-AI-Densifyed-3","295.7654289481094","68.90650136028367","true","58.2643025899178","6","POLYGON ((682416.9345101733 6848846.24159457, 682421.499 6848852.247, 682425.037 6848857.034, 682426.433 6848858.941, 682426.8180286426 6848859.456038314, 682441.1820161357 6848848.7546334425, 682431.2949029943 6848835.483631063, 682416.9345101486 6848846.241594537, 682416.9345101733 6848846.24159457))","0.0","0.0",""
"77114-New30Section-464","386.79217135178607","84.89599764570403","true","51.428444355463036","7","POLYGON ((674750.4151006225 6847616.716289609, 674767.7721807172 6847640.201446126, 674778.4237438818 6847632.329238214, 674761.0666637872 6847608.844081695, 674750.4151006225 6847616.716289609))","0.0","0.0",""
"77312-AI-Densifyed-1","780.7135595036789","188.8451570857228","true","3.179124315433757","9","POLYGON ((680347.64 6804320.68, 680340.14 6804320.09, 680330.86 6804319.35, 680330.27 6804325.2, 680326.95 6804358.4, 680340.910600462 6804359.726833928, 680340.91 6804359.73, 680337.3 6804397.55, 680337.3 6804397.809236111, 680340.29 6804397.83, 680343.89 6804360.01, 680347.64 6804320.68))","0.0","0.0",""
"77222-New17Section-221","327.98570148208194","72.44884170066821","true","17.473955565033755","5","POLYGON ((685631.1666375451 6836363.546663885, 685649.4533164521 6836365.293331721, 685651.1650485601 6836347.528747035, 685632.8798325239 6836345.766848744, 685631.1666329065 6836363.546663438, 685631.1666375451 6836363.546663885))","0.0","0.0",""
"77152-newSection13ConsolidationDivision-17","319.02518914671214","75.38308359975262","true","15.55753792960822","4","POLYGON ((669823.8192958622 6823881.344988483, 669823.8192958581 6823881.344988486, 669806.9271837651 6823899.5394043075, 669813.0831662768 6823908.182253442, 669832.8874204494 6823894.076413985, 669823.8192958622 6823881.344988483))","0.0","0.0",""
"77152-newSection23ConsolidationDivision-317","302.3166137611677","69.87417235363725","true","2.686536080289743","7","POLYGON ((673593.7927246372 6824826.644762572, 673595.36 6824824.52, 673595.5249461755 6824824.632163399, 673602.7739597901 6824812.69476335, 673588.4549156975 6824803.999490916, 673587 6824806, 673585.975 6824805.316, 673578.0470554539 6824817.083168742, 673578.04705544 6824817.083168765, 673593.7927246372 6824826.644762572))","0.25252908834621146","98.00299561828349",
"77152-newSection23ConsolidationDivision-232","439.75323920651107","98.18208519932165","true","12.189282271538826","6","POLYGON ((673603.6493218109 6824968.472556356, 673571.7655314336 6824949.111051372, 673565.646503465 6824959.187634015, 673597.530293843 6824978.549138999, 673603.6493218109 6824968.472556356))","0.0","0.0",""
"77285-New5Section-34","316.34953548815236","72.7930072054768","true","14.71621556903951","5","POLYGON ((672873.7110392818 6826861.092674571, 672859.5018727595 6826859.103763018, 672858.404813894 6826866.941362469, 672856.4454124736 6826880.939702924, 672870.6545789961 6826882.928614479, 672873.7110392818 6826861.092674571))","0.0","0.0",""
"77243-AR-Densifyed-1","390.8765495234762","93.82137347764177","true","11.151273287364072","6","POLYGON ((680058.1536365441 6863927.472151365, 680061.944 6863891.626, 680051.2110001387 6863890.427000016, 680051.2109999999 6863890.427000001, 680047.346 6863926.308, 680047.3441807689 6863926.324778964, 680058.1536365441 6863927.472151365))","0.0","0.0",""
"77061-AD-Densifyed-1","452.321127511305","87.08175961565564","true","43.46559704354732","4","POLYGON ((699617.7367211665 6807194.22742111, 699620.1895033022 6807167.445423457, 699603.14 6807165.88, 699600.73 6807191.63, 699617.7367211665 6807194.22742111))","0.0","0.0",""
