"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","Geometry","HausDist","DisHausDst","CodeAppar"
"77285-BE-0166","28.12299999951781","21.547070864848514","true","6.148757351058858","6","POLYGON ((672281.75 6827442.84, 672278.63 6827444.09, 672277.69 6827444.46, 672279.76 6827450.42, 672280.79 6827450.02, 672283.98 6827448.77, 672281.75 6827442.84))","0.0","0.0",""
"77222-AI-0281","246.9360000022149","73.69494769208208","true","8.640806144549334","5","POLYGON ((685059.94 6836945.43, 685064.2 6836949.67, 685070.07 6836955.5, 685071.17 6836956.61, 685079.82 6836965.21, 685082.38 6836962.64, 685086.03 6836958.97, 685076.27 6836949.26, 685070.41 6836943.42, 685066.15 6836939.19, 685059.94 6836945.43))","0.0","0.0",""
"77222-AI-0320","244.49399999836947","74.5340666318945","true","8.90053925296144","4","POLYGON ((685266.17 6836951.91, 685269.88 6836956.53, 685275.37 6836963.37, 685275.58 6836963.64, 685284.17 6836974.35, 685290.8 6836969.02, 685282.66 6836958.88, 685282.23 6836958.34, 685277.16 6836952.03, 685272.8 6836946.59, 685266.17 6836951.91))","0.0","0.0",""
"77222-AI-0270","415.3893500040762","89.87711054806415","true","13.410793965386258","5","POLYGON ((685135.46 6836852.89, 685130.96 6836848.42, 685123.65 6836841.14, 685112.72 6836830.28, 685105.17 6836838.19, 685103.74 6836839.69, 685114.52 6836850.41, 685121.76 6836857.62, 685126.28 6836862.11, 685135.46 6836852.89))","0.0","0.0",""
"77285-BL-0499","447.6256999942073","89.2873858732936","true","17.13976688918049","9","POLYGON ((672393.12 6826432.21, 672365.55 6826418.5, 672357.86 6826432.21, 672381.14 6826443.89, 672393.12 6826432.21))","0.0","0.0",""
"77152-AR-0920","138.7755500011157","114.66007084051502","true","56.080950453646444","5","POLYGON ((673119.45 6824583.35, 673119.71 6824583.52, 673122.14 6824582.88, 673128.45 6824573.21, 673151.34 6824538.16, 673148.63 6824536.46, 673138.03 6824553.64, 673131.3 6824564.46, 673126.59 6824572.03, 673119.45 6824583.35))","0.0","0.0",""
"77114-0C-0164","1198.9602999948142","190.88829267984423","false","0.0","7","POLYGON ((676592.94 6845711.66, 676603.58 6845657.69, 676605.63 6845644.03, 676594.67 6845638.49, 676581.14 6845674.34, 676583.9 6845675.27, 676586.57 6845676.25, 676584.3 6845682.42, 676579.58 6845694.89, 676573.98 6845693.04, 676568.63 6845707.27, 676592.94 6845711.66))","0.0","0.0",""
"77114-AE-0184","561.8661500044387","96.9737370520216","true","19.312409078194097","5","POLYGON ((675478.62 6847779.66, 675480.16 6847760.81, 675467.45 6847760.38, 675457.39 6847760.04, 675455.36 6847759.97, 675450.46 6847759.8, 675450.35 6847763.12, 675450.31 6847764.19, 675450.1 6847770.17, 675449.79 6847779.3, 675478.62 6847779.66))","0.0","0.0",""
"77390-AM-0494","408.87124998327573","87.58681068220429","true","13.896878886462495","4","POLYGON ((673284.6 6855918.19, 673257.48 6855931.74, 673263.53 6855943.8, 673290.62 6855930.27, 673284.6 6855918.19))","0.0","0.0",""
"77114-AC-0237","642.1985000013086","101.66127463539652","false","0.0","5","POLYGON ((675185.38 6847112.14, 675185.19 6847112.12, 675180.7 6847111.5, 675179.23 6847111.3, 675155.66 6847108.08, 675153.05 6847127.15, 675154.98 6847129.68, 675182.46 6847133.44, 675185.38 6847112.14))","0.0","0.0",""
"77470-ZA-0696","729.8471000109784","107.97219055478317","true","29.443118802294755","4","POLYGON ((681698.87 6849518.19, 681714.56 6849511.4, 681722.52 6849507.97, 681728.17 6849505.54, 681723.31 6849494.57, 681720.92 6849489.84, 681718.79 6849488.18, 681716.87 6849487.55, 681714.39 6849487.43, 681709.55 6849488.96, 681688.82 6849495.62, 681698.87 6849518.19))","0.0","0.0",""
"77222-ZC-0309","911.6631500056357","161.17606149407445","false","0.0","9","POLYGON ((685853.67 6836714.01, 685846.39 6836644.21, 685832.21 6836645.73, 685837.22 6836698.74, 685852.7 6836714.75, 685853.67 6836714.01))","0.0","0.0",""
"77114-AE-0189","532.3850500057213","96.98836691539474","true","17.204567736860515","5","POLYGON ((675418.49 6847768.86, 675417.79 6847785.65, 675425.85 6847785.98, 675434.3 6847786.32, 675449.52 6847786.95, 675449.79 6847779.3, 675450.1 6847770.17, 675418.49 6847768.86))","0.0","0.0",""
"77217-0B-1687","499.26309999641614","89.75722734907436","false","0.0","4","POLYGON ((674967.6 6842207.42, 674947.9 6842221.43, 674955.93 6842232.72, 674961.27 6842234.43, 674981.76 6842227.34, 674967.6 6842207.42))","0.0","0.0",""
"77390-0D-2255","254.17109999631285","73.22946886978562","true","9.973922203955496","5","POLYGON ((674383.24 6854436.2, 674382.42 6854444.16, 674381.61 6854451.92, 674380.5 6854462.68, 674381.62 6854462.81, 674389.94 6854463.66, 674391.25 6854451, 674392.21 6854441.66, 674392.73 6854436.69, 674389.74 6854436.37, 674389.7 6854436.87, 674383.24 6854436.2))","0.0","0.0",""
"77114-AH-0109","577.1308500031245","98.37910702840921","false","0.0","7","POLYGON ((675329.86 6847505.09, 675329.75 6847493.62, 675329.7 6847488.72, 675329.78 6847485.1, 675325.35 6847485.58, 675302.34 6847488.04, 675301.25 6847488.16, 675300.23 6847508.05, 675328.22 6847505.23, 675329.86 6847505.09))","0.0","0.0",""
"77114-AC-0312","773.3278000083303","131.7035253677689","true","8.31482089272043","6","POLYGON ((674808.97 6847028.01, 674812.07 6847029.66, 674842.12 6847040.11, 674845.08 6847031.61, 674850.76 6847033.59, 674853.39 6847026.02, 674838.19 6847020.73, 674831.93 6847018.56, 674828.56 6847017.39, 674823.16 6847015.5, 674820.6 6847014.61, 674803.69 6847008.93, 674802.64 6847012.11, 674802.94 6847015.86, 674803.91 6847019.57, 674804.52 6847020.77, 674808.97 6847028.01))","0.0","0.0",""
"77390-AD-0097","44.687699997885105","26.866326280449318","false","0.0","8","POLYGON ((674709.2 6855074.88, 674702.83 6855078.07, 674706.61 6855083.35, 674712.69 6855080.3, 674711.36 6855078.21, 674709.2 6855074.88))","0.0","0.0",""
"77243-AI-0394","434.8220000044204","122.5401492846356","true","7.438714491720446","7","POLYGON ((677922.48 6863713.1, 677892.18 6863702.09, 677891.6 6863703.63, 677908.83 6863710.21, 677899.37 6863735.02, 677911.75 6863740.96, 677911.81 6863740.99, 677912.03 6863740.41, 677912.13 6863740.14, 677912.17 6863740.06, 677921.25 6863716.3, 677922.48 6863713.1))","0.0","0.0",""
