"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","Geometry","HausDist","DisHausDst","CodeAppar"
"77285-New2Section-134","350.29186123777515","87.21514950715093","true","11.122296525211688","4","POLYGON ((672381.3094800626 6825709.302650748, 672387.4089601259 6825699.965301494, 672367.0390322942 6825676.422764814, 672358.9265324303 6825683.433567165, 672381.3094800626 6825709.302650748))","0.0","0.0",""
"77243-New3Section-12","285.07471488621286","70.13998213920193","true","13.101080162243246","5","POLYGON ((678064.4068266503 6863916.753226571, 678077.3089612188 6863933.077542518, 678087.35267617 6863925.139362304, 678073.5448671211 6863907.669149427, 678063.501152169 6863915.6073296415, 678064.4068266503 6863916.753226571))","0.0","0.0",""
"77222-New16Section-90","496.15411327473794","89.15812872648323","true","22.821126438665978","6","POLYGON ((685121.3624924454 6837013.992189257, 685122.51 6837014.93, 685132.23 6837022.84, 685138.353330436 6837027.934945017, 685152.7351532534 6837010.598364862, 685135.7948359173 6836996.5452678725, 685121.3624924283 6837013.992189243, 685121.3624924454 6837013.992189257))","0.0","0.0",""
"77222-New19Section-24","348.58520853008054","82.17819848082947","true","11.71201327018954","5","POLYGON ((685007.55667674 6836904.518097538, 684999.1800000139 6836912.929999985, 684999.1800000012 6836912.930000001, 685018.94 6836929.25, 685022.0761501654 6836931.837323886, 685029.7092284729 6836922.360158556, 685007.55667674 6836904.518097538))","0.0","0.0",""
"77285-New6Section-54","355.5060976580402","78.6788006027389","true","14.466995221652452","5","POLYGON ((671549.4054461442 6825844.892567968, 671544.9964359629 6825858.25068223, 671568.9954503857 6825866.171852603, 671573.4044605669 6825852.8137383405, 671549.4054461442 6825844.892567968))","0.0","0.0",""
"77317-New1Section-59","368.85814391988674","87.62893819509605","true","11.768363768731284","6","POLYGON ((690943.1398619696 6834741.841020887, 690934.1859537218 6834748.845745011, 690954.178037202 6834774.4009671705, 690963.1319454499 6834767.396243046, 690943.1398619696 6834741.841020887))","0.0","0.0",""
"77470-New2Section-291","372.16853123171626","77.29940964881455","true","18.514921437151795","6","POLYGON ((684571.2645459247 6848332.500192918, 684558.847208717 6848316.243135245, 684544.3893286523 6848327.286238841, 684556.8066658601 6848343.543296515, 684571.2645459247 6848332.500192918))","0.0","0.0",""
"77222-New16Section-11","300.48656360986774","70.28103720985982","true","50.69577831095536","8","POLYGON ((685202.5065938649 6837002.9911617115, 685194.21 6837009.64, 685187.97 6837014.65, 685186.5533312755 6837015.785976787, 685186.553331132 6837015.7859769035, 685186.553332679 6837015.785978811, 685195.8565523608 6837027.236095341, 685211.7291321667 6837014.359488971, 685202.5065938649 6837002.9911617115))","0.0","0.0",""
"77152-New8Section-63","493.0235633412597","89.6757480230252","true","71.11017345200655","6","POLYGON ((673094.0716979208 6824640.047170132, 673090.5 6824646, 673080.7141343508 6824661.494287278, 673097.2089767 6824671.895493599, 673110.6856101872 6824650.5234586755, 673094.0716979582 6824640.047170073, 673094.0716979208 6824640.047170132))","0.0","0.0",""
"77114-New27Section-599","361.5406121129998","89.28291476014792","true","6.214031797331902","5","POLYGON ((676532.8100000136 6848377.739999983, 676539.36 6848369.36, 676514.145401315 6848347.035413225, 676507.0924267985 6848355.018342745, 676532.8099999991 6848377.739999999, 676532.8100000136 6848377.739999983))","0.0","0.0",""
"77114-New15Section-502","493.9894836824138","93.60190987766764","true","30.840858223277653","5","POLYGON ((675419.6073487471 6847741.533647356, 675419.17 6847752.08, 675418.9451914941 6847757.627480486, 675449.1341788857 6847760.345843117, 675450.5770157574 6847744.322306146, 675419.6073487485 6847741.533647341, 675419.6073487471 6847741.533647356))","0.0","0.0",""
"77390-New13Section-6","366.27053672087953","79.9910119230798","true","27.540566345870747","4","POLYGON ((674157.223174003 6854277.228636163, 674171.6892992296 6854277.642742801, 674171.86 6854272.59, 674171.61 6854267.19, 674171.35 6854261.84, 674171.1799878355 6854251.592044522, 674157.5296504672 6854251.429885232, 674157.223174003 6854277.228636163))","0.0","0.0",""
"77222-New2Section-43","455.7606263020348","86.05287024220473","true","19.21021927297626","5","POLYGON ((685976.0306888055 6836579.424626624, 685992.799732586 6836577.60758835, 685994.7775012171 6836577.3932838645, 685993.4756368934 6836565.378666364, 685992.1737725693 6836553.364048863, 685973.4269601582 6836555.395391623, 685976.0306888055 6836579.424626624))","0.0","0.0",""
"77222-New5Section-266","368.6977351156213","80.83017031542155","true","14.18613282484508","6","POLYGON ((685813.14406742 6836442.965611487, 685807.8001945445 6836456.081847927, 685803.1437861234 6836467.510741398, 685816.0265374493 6836472.759486774, 685826.0268187453 6836448.214356864, 685813.14406742 6836442.965611487))","0.0","0.0",""
"77222-New16Section-316","524.4713562545784","130.98571787653677","true","12.801219670507662","10","POLYGON ((685081.9552548461 6836981.455202522, 685084.5899998025 6836983.639999836, 685084.5900000298 6836983.640000024, 685094.53 6836991.73, 685096.17 6836993.06, 685097.88 6836994.49, 685102.96 6836998.73, 685108.44 6837003.3, 685115.9667129874 6837009.532864804, 685124.1247713678 6836999.670779468, 685108.1340357853 6836986.443013741, 685105.79 6836988.8, 685108.08 6836991.07, 685106.45 6836992.59, 685103.04 6836989.37, 685099.86 6836986.37, 685103.5547879783 6836982.654994303, 685090.141358881 6836971.559213451, 685081.9552548461 6836981.455202522))","0.0","0.0",""
"77222-New16Section-314","520.7077502285896","106.93663864651518","true","87.64471802512386","8","POLYGON ((685059.2818193915 6836946.092891512, 685050.1600000004 6836955.28, 685050.1600000017 6836955.280000001, 685051.7299953238 6836956.579996129, 685051.7300004149 6836956.58000034, 685055.48 6836959.65, 685060.81 6836964.04, 685065.82 6836968.12, 685068.33 6836970.21, 685071.92 6836973.15, 685073.23 6836974.22, 685081.9552548457 6836981.455202522, 685090.1113349018 6836971.595508734, 685059.2818193915 6836946.092891512))","0.0","0.0",""
"77114-New27Section-137","345.90953836436455","86.83179009288511","true","2.173828775286741","6","POLYGON ((676481.374853598 6848332.29668549, 676507.0924267985 6848355.018342745, 676514.145401315 6848347.035413225, 676491.2911374125 6848326.8006276535, 676481.374853598 6848332.29668549))","0.0","0.0",""
"77470-New2Section-327","370.2450098612809","80.06965057696738","true","31.18432254091698","5","POLYGON ((684666.5085192125 6848174.648521732, 684652.0360536133 6848180.290978463, 684652.0360536114 6848180.290978465, 684668.3979833426 6848201.712385555, 684680.2598859505 6848192.6521209255, 684666.5085192125 6848174.648521732))","0.0","0.0",""
"77243-New1Section-104","309.85417124102054","82.44600065831872","true","10.287603695735108","4","POLYGON ((677984.8963160161 6863744.746639552, 677973.7185334796 6863774.019484049, 677979.5434428803 6863776.24371513, 677982.956588774 6863777.547018694, 677994.1343713105 6863748.274174198, 677984.8963160161 6863744.746639552))","0.0","0.0",""
"77470-New2Section-309","271.01898941967954","69.02607972524068","true","27.36674161025152","4","POLYGON ((684692.1217885572 6848183.591856295, 684685.78 6848178.05, 684677.38 6848170.41, 684666.5085192125 6848174.648521732, 684680.2598859505 6848192.6521209255, 684692.1217885586 6848183.591856297, 684692.1217885572 6848183.591856295))","0.0","0.0",""
"77285-New6Section-3","373.5278490310919","78.83279944491248","true","17.22034446468717","6","POLYGON ((671449.1105581858 6825780.278401737, 671460.74 6825782.66, 671472.1951921227 6825784.910612908, 671476.7521426635 6825771.104279171, 671454.5565981511 6825763.77836626, 671449.1105581671 6825780.278401731, 671449.1105581858 6825780.278401737))","0.0","0.0",""
"77390-New5Section-90","187.67221390530023","59.061183532561486","true","39.940900801428356","3","POLYGON ((673524.0550951979 6854339.8703705175, 673538.5 6854341.51, 673540.53 6854340.96, 673541.68 6854339.24, 673541.25 6854336.98, 673530.9165587559 6854321.596922448, 673524.0550951979 6854339.8703705175))","0.0","0.0",""
"77114-New34Section-27","308.6016611638469","70.2905655894547","true","53.0364738102024","6","POLYGON ((675508.8612024912 6848037.172904805, 675508.4782951307 6848039.471380404, 675516.7099989911 6848040.849999831, 675516.7100005274 6848040.850000087, 675520.65 6848041.5, 675526.2938135841 6848042.440287343, 675529.1012717301 6848025.587976032, 675511.2855934026 6848022.620028768, 675508.8612024912 6848037.172904805))","0.0","0.0",""
"77222-New17Section-248","328.27758363979626","72.48061363043865","true","18.269429709556693","6","POLYGON ((685592.7672809006 6836306.020238169, 685591.4056756452 6836320.151159562, 685591.0532910741 6836323.808253758, 685609.3385071098 6836325.570152048, 685611.0524969364 6836307.782136459, 685592.7672809006 6836306.020238169))","0.0","0.0",""
"77285-New6Section-148","464.9832052570497","86.28497041174069","true","21.39218899594302","7","POLYGON ((671802.1073760543 6825719.963259075, 671804.5633035221 6825699.115227664, 671804.5633038349 6825699.115225005, 671782.5634343836 6825696.526499163, 671780.1102076742 6825717.374851068, 671802.1073760543 6825719.963259075))","0.0","0.0",""
"77390-New1Section-218","547.0112093914558","110.22631090046391","true","51.6338252163809","5","POLYGON ((674433.66 6854360.67, 674433.76 6854353.69, 674431.76 6854353.67, 674431.86 6854346.970000001, 674431.8599999496 6854346.97, 674427.13 6854347.02, 674422.96 6854347.06, 674420.4297300734 6854347.083231246, 674419.7736013636 6854388.595990052, 674433.2259337971 6854388.808610504, 674433.23 6854388.55, 674433.37 6854379.3, 674433.52 6854369.81, 674433.66 6854360.67))","0.0","0.0",""
"77114-New25Section-21","1836.6380614256946","182.47450337018415","true","109.94858459705125","11","POLYGON ((676578.2267403379 6845742.721657458, 676576.19 6845742.85, 676570.71 6845743.42, 676565.16 6845744.85, 676561.756644135 6845746.148807185, 676564.2031642863 6845746.615033035, 676554.5649188892 6845796.011040696, 676565.0399999985 6845802.899999999, 676565.0400066931 6845802.900001306, 676583.4999999998 6845806.5, 676583.5 6845806.499999999, 676583.5 6845804, 676590 6845773, 676591.4999999861 6845765.500000069, 676591.5000000139 6845765.499999927, 676595.5943662492 6845744.004577192, 676587.0297443818 6845742.333431462, 676587 6845742.5, 676584.5 6845742.5, 676582 6845742.5, 676580 6845742.5, 676578.2267403379 6845742.721657458))","0.5994145644693151","30.509687278251853",
"77114-New6Section-575","389.1257438662516","79.14639797296739","true","8.456740144147568","6","POLYGON ((675346.206050218 6847429.220659894, 675336.5311490609 6847444.686448545, 675354.6147999916 6847455.999000349, 675364.2897011484 6847440.533211699, 675346.206050218 6847429.220659894))","0.0","0.0",""
"77114-New7Section-696","342.36513952671305","87.12678105557777","true","51.587411064573786","7","POLYGON ((674711.41 6847615.57, 674706.5992450966 6847607.359737658, 674681.8976608953 6847626.467193571, 674691.3267726931 6847638.65688539, 674698.24 6847627.1, 674711.41 6847615.57))","0.0","0.0",""
"77243-New1Section-4","355.31910713498047","75.48169259897293","true","38.13646517444228","5","POLYGON ((677887.8092196691 6863702.180533837, 677869.3700003348 6863695.1300001275, 677869.37 6863695.13, 677862.9341199239 6863711.935053552, 677881.3930182983 6863718.98355039, 677887.8092196691 6863702.180533837))","0.0","0.0",""
"77390-New19Section-248","403.1582884458233","92.45962095247222","true","12.62437535713735","5","POLYGON ((674484.5828514226 6854265.8757048845, 674495.9672925946 6854265.799605679, 674496 6854263.44, 674496.36 6854253.43, 674496.93 6854237.42, 674497.138603856 6854231.414077043, 674497.1386038561 6854231.414077036, 674485.124972184 6854231.2261140905, 674484.5828514226 6854265.8757048845))","0.0","0.0",""
"77061-New3Section-16","489.5566956266477","94.22080019840696","true","15.911092695584045","5","POLYGON ((698881.9200567364 6806635.630847617, 698913.8799968271 6806632.690000292, 698913.8799999998 6806632.689999999, 698911.4747028758 6806617.346959313, 698880.4925438557 6806620.21612802, 698881.9200567364 6806635.630847617))","0.0","0.0",""
"77390-New11Section-151","317.024435118504","73.3008017885123","true","14.393127108199101","6","POLYGON ((674207.2162196878 6854271.468785993, 674193.2367220204 6854270.803095628, 674192.5922890496 6854293.585424727, 674206.5794252916 6854293.981072236, 674207.2162196878 6854271.468785993))","0.0","0.0",""
"77317-New2Section-7","398.39572401268094","117.15957885159904","true","31.84155267156525","6","POLYGON ((692539.7223017121 6834153.2973892335, 692540.09 6834155.02, 692542.06 6834164.31, 692543.42 6834170.7, 692545.07 6834171.12, 692543.45 6834177.42, 692538.61 6834176.17, 692537.01 6834182.45, 692535.26 6834189.24, 692534.7800000007 6834191.0699999975, 692534.7800000014 6834191.07, 692554.4650000008 6834196.125, 692545.0962296816 6834152.1525200475, 692539.7223017121 6834153.2973892335))","0.0","0.0",""
"77114-New32Section-514","463.37113484523246","93.05144600544729","true","75.39751808495087","7","POLYGON ((675268.6689067661 6847695.377674095, 675268.87 6847694.29, 675271.44 6847680.31, 675262.17 6847675.12, 675252.14 6847669.26, 675246.4308800126 6847665.925054069, 675246.4308799887 6847665.925054056, 675239.1421400653 6847679.366341299, 675268.6689067661 6847695.377674095))","0.0","0.0",""
"77114-New1Section-479","323.3015924420624","77.090130561162","true","53.13692741570739","5","POLYGON ((676197.6532692822 6848833.209420917, 676187.9313352748 6848857.505323071, 676199.2862120203 6848862.140377808, 676202.75 6848853.58, 676209.2155488647 6848837.929137384, 676197.6532692822 6848833.209420917))","0.0","0.0",""
"77285-New5Section-127","413.8768512425825","81.94591297595974","true","39.10275993726329","4","POLYGON ((672836.4441949027 6826959.067832352, 672836.76 6826969.09, 672837.2144370766 6826981.4394104825, 672845.274458724 6826982.567602636, 672853.8760952345 6826983.7716067005, 672856.9325555204 6826961.935666794, 672836.4441949027 6826959.067832352))","0.0","0.0",""
"77114-New23Section-692","450.846094231696","94.2284708557769","true","9.276856350756812","7","POLYGON ((674668.8368252838 6847462.091379834, 674662.51 6847459.82, 674660.1 6847458.95, 674660.9 6847454.78, 674658.91 6847454.41, 674658.76 6847455.1, 674658.73 6847455.09, 674658.8899999994 6847454.400000003, 674652.7208267758 6847453.244584744, 674649.7291234515 6847469.218353396, 674647.4878767367 6847481.18516716, 674664.6584851253 6847484.401024815, 674668.8368252838 6847462.091379834), (674658.52 6847456.16, 674658.31 6847457.13, 674658.26 6847457.31, 674658.52 6847456.16))","0.0","0.0",""
"77114-New31Section-509","733.5427840574148","354.0475543595502","true","12.614169907050712","13","POLYGON ((676306.4999999997 6845565.000000001, 676304.5 6845568.5, 676309 6845571, 676312 6845572.5, 676317 6845575.5, 676322.5 6845579, 676329 6845583.5, 676338 6845589, 676354.5 6845598.5, 676370.5 6845606.5, 676381.5 6845609, 676386.5 6845610.5, 676391 6845611.5, 676396 6845613.5, 676402 6845615.5, 676405.5 6845617, 676409 6845619, 676414.5 6845622, 676418 6845624.5, 676422.5 6845627.5, 676430.5 6845634, 676438 6845637.5, 676446.5 6845642, 676456.2217014665 6845647.400945259, 676456.337040425 6845641.947719297, 676455.5 6845641.5, 676420.5 6845621, 676396 6845606, 676394 6845609, 676384.5 6845606.5, 676368.5 6845600.5, 676353 6845593.5, 676337.5 6845585, 676332.5 6845581, 676306.5000000012 6845565.000000001, 676306.4999999997 6845565.000000001))","0.0","0.0",""
"77470-New4Section-118","337.2122037915247","75.66406561436371","true","38.33188423982624","3","POLYGON ((684808.784950646 6849063.503816562, 684819.3127531423 6849042.5441463785, 684806.4876243288 6849036.081158619, 684795.9323579889 6849057.026989793, 684808.7849502892 6849063.50381727, 684808.784950646 6849063.503816562))","0.0","0.0",""
"77470-New5Section-297","338.0028690168223","75.11844768596637","true","38.566624452411254","7","POLYGON ((681744.03 6849476.85, 681739.3228742975 6849478.4430642985, 681748.7151812485 6849499.723646603, 681762.4241432105 6849493.67311768, 681753.6144201823 6849473.712522593, 681744.03 6849476.85))","0.0","0.0",""
"77243-New3Section-143","276.74408475781394","68.6295367267887","true","17.79013561536328","4","POLYGON ((677915.1711912492 6863932.92014613, 677895.3817910675 6863926.704571376, 677896.1705689724 6863944.428403691, 677915.644782054 6863943.561727189, 677915.1711912492 6863932.92014613))","0.0","0.0",""
"77222-New23Section-94","390.6176588823717","81.1829910432719","true","63.564050599497804","8","POLYGON ((685098.4151029388 6836845.257745537, 685094.75 6836849.09, 685091.3 6836852.7, 685085.68 6836858.42, 685081.1680455203 6836863.017387938, 685092.4406074509 6836874.024065309, 685109.8006897898 6836856.24462137, 685098.4151030268 6836845.257745447, 685098.4151029388 6836845.257745537))","0.0","0.0",""
"77470-New3Section-320","393.300767116063","82.3781502490403","true","56.842924825350856","7","POLYGON ((684207.4799996942 6848773.050000005, 684205.85 6848773.08, 684192.398727468 6848773.2868153835, 684192.8000292849 6848799.42261995, 684207.8101532875 6848799.192147228, 684207.78 6848796.99, 684207.4800000023 6848773.050000185, 684207.480000001 6848773.0500000985, 684207.4800000003 6848773.050000051, 684207.4800000002 6848773.050000042, 684207.4799999994 6848773.050000001, 684207.4799996942 6848773.050000005))","0.0","0.0",""
"77470-New1Section-221","479.77542248465136","94.76667013979127","true","28.573150189044625","4","POLYGON ((684270.0019034584 6848355.70668, 684284.06 6848338.5, 684290.62 6848332.09, 684287.23 6848322.44, 684287.1900000052 6848322.310000016, 684287.1899999995 6848322.310000001, 684287.1899990097 6848322.310000389, 684260.9446773515 6848332.595482815, 684270.0019034584 6848355.70668))","0.0","0.0",""
"77222-New22Section-112","368.8786584822382","84.40600857891498","true","54.925146513071006","8","POLYGON ((685632.9110099019 6836750.610965493, 685624.99 6836760.06, 685640 6836773.63, 685646.9558465056 6836779.9244861, 685646.9558467742 6836779.924486341, 685655.2584525665 6836770.6993687935, 685632.9110099019 6836750.610965493))","0.0","0.0",""
"77470-New1Section-171","378.17849966229","83.19987079646906","true","13.723924304369413","7","POLYGON ((684124.8324712587 6848429.044198837, 684119.9452646638 6848416.545460451, 684103.2440950902 6848423.075884848, 684093.7005736739 6848426.807554346, 684098.587780269 6848439.306292732, 684124.8324712587 6848429.044198837))","0.0","0.0",""
"77390-New5Section-282","349.9670230233459","75.55447107117985","true","16.682715137727318","4","POLYGON ((673485.574665726 6854303.426625944, 673478.0173328645 6854323.553312972, 673493.256894409 6854329.275588034, 673500.8142272709 6854309.148901006, 673485.574665726 6854303.426625944))","0.0","0.0",""
"77285-New2Section-13","411.36063058703184","82.02567457128916","true","38.891984844264854","6","POLYGON ((672333.5405180012 6825637.689355527, 672321.13 6825656.1, 672331.7813414752 6825668.425123706, 672347.99404218 6825654.4141477905, 672333.5405180012 6825637.689355527))","0.0","0.0",""
"77114-New5Section-252","392.79122488976367","83.45165720905347","true","54.32187028123009","5","POLYGON ((675518.419979557 6847996.349996593, 675522.7999999849 6847997.079999997, 675522.7999999997 6847997.079999999, 675522.8000000018 6847997.079999999, 675533.9499999994 6847988.49, 675533.9500001334 6847988.489998554, 675535.57 6847970.92, 675535.8312872802 6847968.1046578325, 675521.1594634331 6847966.746919747, 675518.419979557 6847996.349996593))","0.0","0.0",""
"77390-New20Section-120","513.9899607589105","90.74335919214654","true","47.777416887909965","5","POLYGON ((673521.6492786289 6855771.847725029, 673523.4092721015 6855795.162654008, 673545.3481090479 6855793.500073284, 673545.3481091456 6855793.5000732755, 673543.3340545725 6855769.990036638, 673521.6492786289 6855771.847725029))","0.0","0.0",""
"77470-New3Section-111","391.5226536057732","82.2986583415148","true","38.80908661646326","4","POLYGON ((684150.016677958 6848918.736868806, 684164.9498780416 6848918.445992567, 684164.4393793549 6848892.237667527, 684149.5061792713 6848892.5285437675, 684150.016677958 6848918.736868806))","0.0","0.0",""
"77114-New4Section-705","401.6136126311669","80.61374540181725","true","40.6156573340147","4","POLYGON ((675174.2768667759 6847131.908518285, 675192.2506243767 6847134.357036851, 675195.2746219262 6847112.287807705, 675177.5326967892 6847109.856751424, 675174.2768653091 6847131.9085180145, 675174.2768652998 6847131.908518082, 675174.2768667759 6847131.908518285))","0.0","0.0",""
"77390-New10Section-216","288.4844352629782","70.39846037006706","true","13.418369955918601","7","POLYGON ((674472.2650673115 6854368.191926111, 674470.9877274204 6854390.365856163, 674483.9547700929 6854391.112828884, 674485.2321099839 6854368.938898832, 674472.2650673115 6854368.191926111))","0.0","0.0",""
"77470-New8Section-311","374.7184203591051","78.97989929242192","true","39.272665688437726","7","POLYGON ((681732.0325240087 6849514.12140438, 681728.17 6849505.54, 681723.31 6849494.57, 681722.6991501399 6849493.361079566, 681707.587960889 6849498.302067877, 681717.4183707979 6849520.572306047, 681732.0325240087 6849514.12140438))","0.0","0.0",""
"77222-New1Section-170","444.0214554709808","96.08376657790424","true","86.56471768534269","7","POLYGON ((685120.8093239247 6836930.732197083, 685124.34 6836933.98, 685124.59 6836934.22, 685131.48 6836940.76, 685138.26 6836947.41, 685146.11 6836955.35, 685154.9586777078 6836946.445786658, 685129.9205328227 6836921.563804838, 685120.809323911 6836930.732197069, 685120.8093239247 6836930.732197083))","0.0","0.0",""
"77222-New11Section-282","438.31755441130474","86.3579573373643","true","60.26787454748894","6","POLYGON ((685445.6246602016 6836743.6062266715, 685458.1810805886 6836754.032963192, 685458.1810927195 6836754.032948773, 685462.44 6836748.97, 685465.8399933416 6836744.930007911, 685465.8400002207 6836744.929999735, 685470.77 6836739.02, 685471.54 6836738.1, 685475.4167424665 6836733.471737717, 685462.9655901147 6836722.995767377, 685445.6246602016 6836743.6062266715))","0.0","0.0",""
