"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","HausDist","DisHausDst","CodeAppar","AspectRatio"
"77317-AB-0668","175.40725000490818","63.5268639023663","true","23.21506855637514","3","NA","NA","NA","0.4113410127258723"
"77312-0H-1569","156.699300000625","62.93322995006901","true","34.16629751844552","4","NA","NA","NA","0.23248828482867864"
"77312-AK-1032","500.2948500008315","89.63297577564745","true","24.64165556911413","6","NA","NA","NA","0.654075673111267"
"77152-AS-0650","253.1713999948425","108.90123072410866","true","9.42049927464406","11","NA","NA","NA","0.1811052742380625"
"77217-0B-1725","415.2827499987437","81.58190002210102","true","64.76755890639582","2","NA","NA","NA","0.5964514185559701"
"77152-AV-0361","375.30589999914605","84.04991902595557","true","44.10594901418451","3","NA","NA","NA","0.9797053616867696"
"77312-AL-0535","263.6037000003334","77.3012018479153","true","63.79720220118544","2","NA","NA","NA","1.090182066867423"
"77243-BE-0504","107.63414999475799","42.98531109384808","true","11.067831739796485","6","NA","NA","NA","0.48729622437916786"
"77152-AK-0411","41.73940000049657","61.24117463675561","true","3.473719071547216","6","NA","NA","NA","0.04859748959561291"
"77222-AD-0223","588.7383000026406","121.78886463806657","true","28.301610032208934","3","NA","NA","NA","0.9894837168286619"
"77390-0D-2392","628.0523000074719","157.78297220657254","true","100.88601207060738","4","NA","NA","NA","0.3248931824724968"
"77390-0D-2318","458.5793499981239","86.39496947389584","true","20.80056766147387","5","NA","NA","NA","0.6046051707426151"
"77243-AR-0636","388.2694000009558","85.69831049474723","true","31.56800374206694","3","NA","NA","NA","0.39343538099791475"
"77243-AN-0357","131.3209500000844","57.10879505560831","true","20.286394080511023","3","NA","NA","NA","0.23883937448712697"
"77390-AL-0301","175.38234999874416","64.3323395214393","true","9.395775374144616","5","NA","NA","NA","0.28628440232556346"
"77243-AY-0367","199.32470000191623","57.16223873407483","true","42.644599910392145","2","NA","NA","NA","0.7326789221792243"
"77222-AD-0132","398.9786000007617","90.41947345662705","true","90.38214850333961","1","NA","NA","NA","0.3617058988301111"
"77390-0D-2337","499.1181500083861","89.95809060564628","true","58.74253735193398","3","NA","NA","NA","0.5158278619400304"
"77152-AW-0660","25.68975000111363","24.58725696227695","false","0.0","4","NA","NA","NA","0.3279653851613009"
"77217-0B-1647","255.3046499996699","70.13485001444992","false","0.0","11","NA","NA","NA","0.43853967751793943"
"77312-AH-0918","635.613300002147","230.41828454464408","true","178.35428150450974","2","NA","NA","NA","0.9951829659966717"
"77390-AL-0295","227.8675999954321","80.48025695783271","true","47.29992878130773","2","NA","NA","NA","0.19861657954873038"
"77152-AW-0487","222.84444999627826","71.69320927720537","true","20.310994761585285","3","NA","NA","NA","0.267686520243182"
"77217-0B-1700","175.33680000527113","53.18176207792654","false","0.0","7","NA","NA","NA","0.6385241978171814"
"77243-AH-0380","322.8826000005124","81.06263588385818","true","42.16350352710997","3","NA","NA","NA","0.3673447455188031"
"77222-AD-0256","146.82514999934313","75.3940212107839","true","8.97625886166754","5","NA","NA","NA","0.20975077004521153"
