"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","HausDist","DisHausDst","CodeAppar","AspectRatio"
"25267-newSection3ConsolidationDivision-37","676.8127221020874","131.7508223500005","true","9.060419844020767","4","NA","NA","NA","0.406535280337682"
"25267-newSection5ConsolidationDivision-2","620.5968170977834","100.19439229796365","true","24.41943656202108","6","NA","NA","NA","0.6287316676767191"
"25267-AA-6-Densifyed-0013","310.37819841360914","74.32525478205584","true","14.69147780380669","4","NA","NA","NA","0.9961098473467855"
"25267-newSection1ConsolidationDivision-96","871.1522767289687","120.86790257695202","true","62.4247802959737","4","NA","NA","NA","0.5432782387338612"
"25267-newSection5ConsolidationDivision-52","526.6750396185726","109.63154683767027","true","14.462942515751559","6","NA","NA","NA","0.27997915478934055"
"25267-AA-1-Densifyed-0185","233.75583267189901","61.50708343826173","true","15.77707491619518","5","NA","NA","NA","0.6191552030674808"
"25267-AB-1-Densifyed-0162","433.2486032238708","108.43195409943463","true","0.9374780025770766","5","NA","NA","NA","0.5730838454279883"
"25267-newSection0ConsolidationDivision-76","730.5983820191937","110.35583042493676","true","24.06154849149847","6","NA","NA","NA","0.5544214202419779"
"25267-newSection1ConsolidationDivision-21","568.7602285860025","99.69901560989595","true","53.789293839661646","3","NA","NA","NA","0.5340921668744738"
"25267-newSection3ConsolidationDivision-47","696.079263998819","108.71583238289853","true","56.34864567135439","3","NA","NA","NA","0.5224083676902783"
"25267-newSection1ConsolidationDivision-37","886.2800327348373","124.03927448572782","true","64.01041542184437","4","NA","NA","NA","0.4903532842635014"
"25267-AA-1-Densifyed-0033","453.82684690704104","115.61180867260975","true","4.991373215532691","4","NA","NA","NA","0.38943219549758606"
"25267-newSection1ConsolidationDivision-7","476.3769166685896","89.5099138379958","true","20.13374577527539","4","NA","NA","NA","0.5286973748411229"
"25267-newSection1ConsolidationDivision-84","614.9518844760562","104.09151712492732","true","72.16117165229349","2","NA","NA","NA","0.5347294568913609"
"25267-newSection1ConsolidationDivision-91","895.8288484551515","122.95883293552421","true","63.64810873255437","4","NA","NA","NA","0.5299317885232089"
"25267-New1Section-9","5217.989353330816","310.833931181283","true","155.67575472611404","7","NA","NA","NA","0.4303369836578674"
