CODE,DEPCOM,LIBELLE,InitialArea,ParcelsArea,RatioArea,RatioParcelConnectionRoad
3-25267-newSection3ConsolidRecomp,25267,newSection3ConsolidRecomp,119741.45239987415,104769.48758874767,0.8749642290864494,1.0,
21-25267-AA,25267,AA,170.4403499895239,0.0,0.0,1.0,
11-25267-newSection11ConsolidRecomp,25267,newSection11ConsolidRecomp,132818.38975007468,117778.41181778489,0.8867628348710549,1.0,
7-25267-newSection7ConsolidRecomp,25267,newSection7ConsolidRecomp,24034.746350010737,21316.9559855949,0.8869224444960859,0.9305555555555556,
10-25267-newSection10ConsolidRecomp,25267,newSection10ConsolidRecomp,46055.505050026564,40682.4152383967,0.8833344720507681,0.9328859060402684,
1-25267-newSection1ConsolidRecomp,25267,newSection1ConsolidRecomp,54395.30739994186,48732.44529804043,0.895894289919805,1.0,
17-25267-newSection17ConsolidRecomp,25267,newSection17ConsolidRecomp,23543.149349991374,20888.137001562238,0.887227816934776,1.0,
19-25267-newSection19ConsolidRecomp,25267,newSection19ConsolidRecomp,180347.9399000806,155492.19159472035,0.8621789174906503,0.9903069466882067,
8-25267-newSection8ConsolidRecomp,25267,newSection8ConsolidRecomp,69684.22739994958,62501.65313549171,0.8969268293205893,0.9916666666666667,
18-25267-newSection18ConsolidRecomp,25267,newSection18ConsolidRecomp,37475.26849999179,33833.08056422427,0.902810891514538,0.8110236220472441,
5-25267-newSection5ConsolidRecomp,25267,newSection5ConsolidRecomp,10461.000499969594,9873.52500007287,0.9438413658522976,0.84375,
12-25267-newSection12ConsolidRecomp,25267,newSection12ConsolidRecomp,18277.607949991943,16864.384552843658,0.9226800683648043,0.8360655737704918,
2-25267-newSection2ConsolidRecomp,25267,newSection2ConsolidRecomp,82226.41270003247,74469.97741130072,0.9056697837831288,1.0,
14-25267-newSection14ConsolidRecomp,25267,newSection14ConsolidRecomp,9246.630100022225,8972.606957999673,0.9703650801363956,0.8823529411764706,
4-25267-newSection4ConsolidRecomp,25267,newSection4ConsolidRecomp,19749.009250018124,17397.02639565547,0.8809062862553222,0.9705882352941176,
20-25267-newSection20ConsolidRecomp,25267,newSection20ConsolidRecomp,37317.0138500125,33895.3752731513,0.9083088858445715,1.0,
6-25267-newSection6ConsolidRecomp,25267,newSection6ConsolidRecomp,56094.60489996784,50201.4895570357,0.8949432774606186,0.907608695652174,
0-25267-newSection0ConsolidRecomp,25267,newSection0ConsolidRecomp,4279.415499993964,4108.36407031168,0.9600292540692706,1.0,
13-25267-newSection13ConsolidRecomp,25267,newSection13ConsolidRecomp,267843.20849993103,238178.36413203238,0.8892454860661277,0.9602888086642599,
9-25267-newSection9ConsolidRecomp,25267,newSection9ConsolidRecomp,38307.23479996135,34959.61895767378,0.9126113941721801,0.9097744360902256,
16-25267-newSection16ConsolidRecomp,25267,newSection16ConsolidRecomp,25670.697600006843,23203.33099353596,0.9038839284807662,0.9325842696629213,
15-25267-newSection15ConsolidRecomp,25267,newSection15ConsolidRecomp,108853.53530001928,94921.8902216036,0.8720147669984475,0.9567567567567568,
